DepartureTime,ArraivalTime,Price,Operator,NumberOfStops,Duration,Layovers,Source
2023-12-20 07:25:00,2023-12-20 15:55:00,375.0,"['Scandinavian Airlines', 'Pegasus Airlines']",1,30600,"['3h 45m layover, Stockholm Arlanda']",kayak.com
2023-12-20 10:15:00,2023-12-20 19:05:00,363.0,"['Scandinavian Airlines', 'Turkish Airlines']",1,31800,"['4h 00m layover, Stockholm Arlanda']",kayak.com
2023-12-20 08:15:00,2023-12-20 18:00:00,357.0,"['Finnair', 'AnadoluJet']",1,35100,"['3h 40m layover, Amsterdam Schiphol']",kayak.com
2023-12-20 08:00:00,2023-12-20 18:05:00,340.0,"['Finnair', 'AnadoluJet']",1,36300,"['4h 20m layover, Zurich']",kayak.com
2023-12-20 07:25:00,2023-12-20 16:30:00,565.0,"['Scandinavian Airlines', 'LOT']",2,32700,"['3h 00m layover, Stockholm Arlanda', '0h 35m layover, Warsaw Frederic Chopin']",kayak.com
2023-12-20 05:50:00,2023-12-20 15:20:00,332.0,"['Finnair', 'Air Serbia']",2,34200,"['1h 45m layover, Kastrup Copenhagen', '2h 10m layover, Belgrade Nikola Tesla']",kayak.com
2023-12-20 06:20:00,2023-12-20 17:05:00,291.0,['Multiple airlines'],3,38700,"['1h 00m layover, Kastrup Copenhagen', '1h 20m layover, Vienna Intl', '1h 40m layover, Tirana Rinas']",kayak.com
2023-12-20 10:05:00,2023-12-20 20:25:00,331.0,"['Scandinavian Airlines', 'Pegasus Airlines']",2,37200,"['1h 55m layover, Kastrup Copenhagen', '1h 40m layover, Amsterdam Schiphol']",kayak.com
2023-12-20 06:30:00,2023-12-20 16:25:00,356.0,"['Scandinavian Airlines', 'Pegasus Airlines']",2,35700,"['0h 55m layover, Kastrup Copenhagen', '2h 10m layover, Amsterdam Schiphol']",kayak.com
2023-12-20 02:40:00,2023-12-20 11:35:00,569.0,"['Finnair', 'LOT']",2,32100,"['3h 00m layover, Tallinn Ulemiste', '1h 10m layover, Warsaw Frederic Chopin']",kayak.com
2023-12-20 09:30:00,2023-12-20 20:40:00,265.0,"['Finnair', 'Air Serbia']",2,40200,"['4h 20m layover, Budapest Ferenc Liszt Intl', '1h 40m layover, Belgrade Nikola Tesla']",kayak.com
